Player Name,Total Clubs Played For,Clubs Played For
Julian S. Silva,2,"Bologna, Eintracht Frankfurt"
Youssef G. De Jong,1,Tottenham Hotspur
Marco F. Schmidt,4,"Celtic, Boca Juniors, Arsenal, Nice"
Alexander G. Rossi,3,"Bayern Munich, Real Betis, Dynamo Kyiv"
João E. Meyer,5,"Getafe, Barcelona, Valencia, Tottenham Hotspur, Athletic Bilbao"
Sebastian D. Dubois,7,"Atalanta, Real Betis, Real Sociedad, Newcastle United, Celtic, Arsenal, Al-Nassr"
Diogo H. Flores,7,"Fluminense, Lyon, Everton, Monaco, Palmeiras, Galatasaray, Juventus"
Amir V. Rojas,2,"Palmeiras, Santos"
Jakub A. Roberts,2,"Valencia, Borussia Dortmund"
Pedri R. Ferrari,5,"LAFC, Fiorentina, Arsenal, River Plate, Napoli"
Kenji H. Schneider,4,"AC Milan, Sporting CP, Monaco, Eintracht Frankfurt"
Ivan K. Fernandez,5,"Borussia Dortmund, Paris Saint-Germain, Schalke 04, Chelsea, Sporting CP"
Ivan S. Nieuwenhuis,4,"Bayern Munich, Lyon, Inter Milan, Juventus"
Toby A. Fernandez,7,"Nice, VfL Wolfsburg, Santos, Al-Ahli, Chelsea, Inter Milan, Bayern Munich"
Iker Meyer,2,"LA Galaxy, Benfica"
Nathan J. Smit,1,Atlanta United
Nicolas J. Moreno,5,"Atlanta United, Real Madrid, Borussia Dortmund, Al-Nassr, Manchester United"
Jan Ricci,3,"AS Roma, Al-Nassr, Athletic Bilbao"
Lukas R. Bertrand,6,"Sporting CP, Everton, RB Leipzig, Napoli, LAFC, Olympiacos"
Federico T. Bianchi,6,"Bayern Munich, Sporting CP, Fluminense, Arsenal, AC Milan, Nice"
Oluwaseun S. Bertrand,7,"Liverpool, Sevilla, Napoli, Flamengo, Grêmio, Paris Saint-Germain, Ajax"
Mateo V. De Bruyne,6,"Bayern Munich, Marseille, Newcastle United, Besiktas, Tottenham Hotspur, Bologna"
Ethan T. Simon,6,"São Paulo, Inter Milan, Bologna, Al-Ahli, Tottenham Hotspur, LAFC"
Diego R. Gonzales,2,"Ajax, Marseille"
Josko G. David,3,"SS Lazio, Marseille, Boca Juniors"
Kofi T. Bertrand,7,"Real Sociedad, Al-Ahli, Nice, LA Galaxy, Rangers, PSV Eindhoven, Everton"
Gonçalo J. Ricci,2,"Fenerbahce, Al-Ittihad"
Nicolò M. Schneider,3,"Grêmio, Al-Ittihad, Olympiacos"
Toby M. Gomez,6,"Arsenal, Real Madrid, Getafe, Liverpool, Borussia Mönchengladbach, Grêmio"
Lukas K. Davies,1,Real Madrid
Lukas A. Schmidt,6,"Napoli, Al-Nassr, Inter Milan, Besiktas, Shakhtar Donetsk, Palmeiras"
Sebastian L. Lopez,2,"Galatasaray, LA Galaxy"
Diego R. Rojas,7,"Athletic Bilbao, Sporting CP, Grêmio, FC Porto, Aston Villa, Inter Miami, Villarreal"
Louis E. Flores,6,"Wolverhampton, LAFC, Bologna, Al-Hilal, Atlanta United, RB Leipzig"
Stefan N. Roberts,2,"Athletic Bilbao, Sporting CP"
Lukas R. Alvarez,4,"River Plate, Ajax, Paris Saint-Germain, Torino"
Memphis E. Meyer,3,"SS Lazio, Fluminense, Al-Ahli"
Filip S. Davies,7,"LA Galaxy, Grêmio, Bayer Leverkusen, BRAGA, Real Betis, Sporting CP, Getafe"
Pedri B. Santos,3,"Boca Juniors, Lyon, FC Porto"
Lukas H. Rodriguez,3,"Schalke 04, Atletico Madrid, Olympiacos"
Kwan F. Evans,7,"Al-Nassr, Shakhtar Donetsk, Galatasaray, Borussia Mönchengladbach, Al-Ittihad, Athletic Bilbao, Fiorentina"
Dries L. De Jong,6,"Bayer Leverkusen, Wolverhampton, Bayern Munich, Newcastle United, Real Betis, Nice"
Diego S. Colombo,3,"Nice, Tottenham Hotspur, Liverpool"
Oliver L. Vasquez,2,"Al-Ittihad, Borussia Dortmund"
Bruno N. Santos,6,"Arsenal, Grêmio, Atletico Madrid, Atalanta, Rennes, PSV Eindhoven"
Jan S. Michel,4,"Eintracht Frankfurt, River Plate, Boca Juniors, Liverpool"
Hugo V. Williams,4,"Nice, Villarreal, Borussia Dortmund, Olympiacos"
Amir C. Roux,4,"Napoli, Shakhtar Donetsk, Besiktas, Chelsea"
Alessandro A. Rodriguez,6,"Manchester City, Aston Villa, Sporting CP, Benfica, Athletic Bilbao, Schalke 04"
Carlos C. Romano,7,"AC Milan, BRAGA, Liverpool, Chelsea, Lyon, Atlanta United, Monaco"
Bernardo E. Gomez,2,"Valencia, Al-Ittihad"
Gabriel S. Brown,7,"Flamengo, Barcelona, LAFC, AC Milan, Atalanta, Fenerbahce, Rennes"
Nicolas G. Ramirez,5,"FC Porto, Feyenoord, Barcelona, Rennes, AS Roma"
Jan D. Davies,1,Atlanta United
Pedri Nieuwenhuis,4,"Celtic, Arsenal, Inter Milan, Borussia Mönchengladbach"
Federico M. Sanchez,4,"Lyon, Lille, Boca Juniors, AS Roma"
Ivan M. Jansen,3,"Lille, Al-Ittihad, Grêmio"
Julian P. Gomez,4,"West Ham United, Juventus, Real Madrid, Paris Saint-Germain"
Stefan H. Smit,5,"Borussia Mönchengladbach, Lille, Bayer Leverkusen, PSV Eindhoven, LAFC"
Daniel K. Ferrari,5,"Besiktas, Real Madrid, Lille, Atlanta United, Santos"
Ciro G. Ferrari,3,"Atletico Madrid, Torino, Bologna"
Iker D. Diaz,3,"Benfica, LAFC, Fiorentina"
Cody J. Alvarez,4,"Real Madrid, Grêmio, Arsenal, Manchester City"
Toby B. Fernandez,1,Nice
Hiroshi G. Marino,7,"Atletico Madrid, Borussia Dortmund, Everton, Inter Miami, Arsenal, Benfica, Bayer Leverkusen"
João F. Torres,6,"Villarreal, Inter Milan, Lyon, Juventus, Tottenham Hotspur, Besiktas"
Jan S. Schulz,5,"Inter Milan, Sporting CP, Athletic Bilbao, Real Betis, Aston Villa"
Andrei T. Bianchi,4,"Real Betis, Corinthians, Wolverhampton, Sporting CP"
Kwan S. Meyer,5,"Shakhtar Donetsk, Boca Juniors, Al-Ittihad, Tottenham Hotspur, Lyon"
Oliver Torres,2,"Palmeiras, Atalanta"
Romelu S. Lefebvre,5,"Lille, Rennes, SS Lazio, Al-Nassr, AC Milan"
Xavi L. Müller,6,"FC Porto, Grêmio, Valencia, Fluminense, AC Milan, Bayern Munich"
Amir S. Lefebvre,7,"Arsenal, Ajax, Getafe, Shakhtar Donetsk, Flamengo, Brighton & Hove Albion, Sevilla"
Cody H. Moreau,6,"Real Betis, Manchester City, SS Lazio, Everton, Arsenal, Bayer Leverkusen"
Thibaut G. Perez,2,"Dynamo Kyiv, Al-Nassr"
Cody B. Esposito,1,Nice
João S. Bakker,4,"Lyon, Manchester United, Flamengo, LA Galaxy"
Sebastian R. Meyer,6,"Lille, Brighton & Hove Albion, Borussia Dortmund, Chelsea, Benfica, Sevilla"
Marco P. Brown,2,"Atlanta United, Dynamo Kyiv"
Mateo F. David,5,"Corinthians, Napoli, Real Sociedad, AC Milan, LA Galaxy"
Bernardo K. Santos,4,"Al-Ittihad, Manchester City, Rennes, Athletic Bilbao"
Bruno L. Ferrari,5,"Everton, Wolverhampton, Al-Ittihad, Al-Ahli, Benfica"
Memphis J. Bianchi,4,"Lille, LAFC, Real Madrid, Tottenham Hotspur"
Hiroshi A. Lefebvre,7,"Bologna, West Ham United, Borussia Mönchengladbach, AS Roma, São Paulo, Liverpool, Lyon"
Leonardo P. Greco,6,"São Paulo, Brighton & Hove Albion, Fiorentina, Arsenal, Manchester City, Feyenoord"
Marco L. Ramirez,7,"Valencia, Atlanta United, Everton, Galatasaray, Celtic, BRAGA, Chelsea"
Tiago Smit,6,"Napoli, São Paulo, Newcastle United, Juventus, Olympiacos, Grêmio"
Jonas R. Weber,5,"Valencia, Galatasaray, AS Roma, Bayer Leverkusen, RB Leipzig"
Bruno B. Smit,6,"Valencia, Al-Ahli, Lyon, VfL Wolfsburg, SS Lazio, Liverpool"
Memphis G. Ricci,3,"Olympiacos, Al-Hilal, Real Sociedad"
Samuel Bruno,5,"Corinthians, Feyenoord, SS Lazio, Sevilla, PSV Eindhoven"
Giorgio F. Müller,1,Torino
Iker K. Thomas,3,"AC Milan, Lille, Boca Juniors"
Diogo R. Dubois,6,"Lille, Villarreal, Fluminense, Atlanta United, Borussia Dortmund, FC Porto"
Daniel R. Bianchi,1,River Plate
Dominik K. Roberts,3,"Sporting CP, Napoli, Eintracht Frankfurt"
Mason B. Silva,4,"Paris Saint-Germain, Marseille, Arsenal, Benfica"
Andrei N. Müller,6,"Tottenham Hotspur, AC Milan, Paris Saint-Germain, West Ham United, Manchester City, Al-Nassr"
Kacper K. Williams,4,"Inter Miami, Marseille, Fiorentina, Schalke 04"
Stefan Schulz,2,"Al-Ahli, Nice"
Nicolas S. Williams,6,"Nice, Galatasaray, Napoli, AS Roma, Fenerbahce, Dynamo Kyiv"
Amir Moreau,7,"Chelsea, Getafe, Schalke 04, Fenerbahce, Borussia Dortmund, Valencia, Fluminense"
Jan V. Becker,2,"Liverpool, Manchester United"
Gonçalo E. Michel,6,"Tottenham Hotspur, Juventus, Rangers, PSV Eindhoven, Bayer Leverkusen, Barcelona"
Alessandro J. Romano,1,Al-Hilal
Leonardo R. Martinez,3,"Besiktas, Al-Ahli, Flamengo"
Julian N. Evans,4,"São Paulo, Bayer Leverkusen, Al-Hilal, Nice"
Diogo K. Becker,1,PSV Eindhoven
Hiroshi E. Moreau,4,"West Ham United, Rangers, Olympiacos, Liverpool"
Pedri F. Fischer,3,"Besiktas, Manchester City, Marseille"
Giorgio V. Garcia,4,"Fenerbahce, Al-Ittihad, AC Milan, Liverpool"
Samuel V. Schmidt,3,"Feyenoord, Real Betis, Everton"
Bernardo F. Greco,4,"Juventus, Flamengo, Borussia Dortmund, SS Lazio"
Romelu P. Meyer,1,FC Porto
Bruno V. Leroy,4,"Atletico Madrid, Inter Milan, Flamengo, Boca Juniors"
Jan F. Vasquez,2,"Bayern Munich, Getafe"
Alexander C. Flores,6,"Bologna, Santos, Atlanta United, FC Porto, Aston Villa, Al-Ahli"
Lorenzo S. Silva,3,"Newcastle United, River Plate, Ajax"
Luka G. Laurent,1,FC Porto
Lorenzo K. Müller,4,"Fiorentina, Bayern Munich, Corinthians, West Ham United"
Gonçalo M. Becker,1,Real Betis
Jonas S. Schneider,6,"LA Galaxy, Juventus, Lyon, LAFC, Valencia, Galatasaray"
Kofi D. Romano,3,"Athletic Bilbao, Juventus, Al-Ahli"
Kofi B. De Jong,1,Borussia Mönchengladbach
Sandro A. Marino,3,"Fluminense, Bayer Leverkusen, Fiorentina"
Diogo K. Wilson,7,"Schalke 04, Palmeiras, Eintracht Frankfurt, Dynamo Kyiv, Atletico Madrid, AC Milan, AS Roma"
Nicolas L. Lefebvre,2,"Benfica, Palmeiras"
Mason D. Greco,1,FC Porto
Filip G. Davies,3,"AC Milan, Valencia, West Ham United"
Carlos M. Vasquez,7,"Everton, Palmeiras, Galatasaray, Corinthians, Napoli, Real Betis, Santos"
Carlos M. Colombo,1,Al-Ahli
Kevin R. Wagner,4,"Bayern Munich, Flamengo, Celtic, Everton"
Alexander F. Garcia,1,Wolverhampton
Frenkie C. Van Dijk,4,"Arsenal, Aston Villa, Torino, Corinthians"
Maximilian C. Vasquez,7,"Schalke 04, São Paulo, Benfica, Palmeiras, Lille, Everton, Sporting CP"
Amir T. Taylor,5,"BRAGA, LAFC, Grêmio, PSV Eindhoven, Rennes"
Gonçalo B. Santos,2,"Bayern Munich, Schalke 04"
Dries R. Rojas,4,"Rennes, Manchester United, Tottenham Hotspur, Real Madrid"
Julian P. De Bruyne,3,"Rangers, Everton, Arsenal"
Noah C. Lefebvre,6,"Atlanta United, Santos, FC Porto, Real Madrid, LAFC, Corinthians"
Jakub A. Moreno,7,"Newcastle United, BRAGA, SS Lazio, Galatasaray, Dynamo Kyiv, Monaco, Torino"
Oluwaseun A. Smith,4,"Santos, Flamengo, Rennes, Olympiacos"
Nicolò R. Michel,6,"FC Porto, LAFC, RB Leipzig, Nice, Al-Hilal, West Ham United"
Santiago H. Sanchez,3,"Galatasaray, Brighton & Hove Albion, Liverpool"
Felix L. Becker,3,"Atlanta United, Eintracht Frankfurt, AS Roma"
Gabriel C. Ferrari,7,"Tottenham Hotspur, PSV Eindhoven, Dynamo Kyiv, Juventus, Manchester City, Monaco, Sevilla"
Giorgio B. Wagner,2,"Shakhtar Donetsk, Athletic Bilbao"
Frenkie V. Davies,2,"AS Roma, Shakhtar Donetsk"
Gianluigi C. Rodriguez,6,"AC Milan, Manchester United, Olympiacos, Athletic Bilbao, Fenerbahce, São Paulo"
David D. Evans,4,"Santos, Atlanta United, Bayern Munich, São Paulo"
Louis Leroy,3,"Newcastle United, Manchester United, River Plate"
Leonardo P. Evans,3,"Nice, Atlanta United, Borussia Dortmund"
David B. Michel,3,"Everton, Lyon, AC Milan"
Jakub J. Santos,2,"VfL Wolfsburg, LAFC"
Paul B. Wilson,7,"Al-Nassr, Real Betis, Feyenoord, Shakhtar Donetsk, Rangers, AC Milan, Newcastle United"
Maximilian A. Rossi,1,Brighton & Hove Albion
Nicolò C. Ferrari,6,"Fluminense, Inter Miami, Paris Saint-Germain, Al-Nassr, Real Sociedad, Nice"
Santiago M. Moreau,4,"Everton, Flamengo, Villarreal, Besiktas"
Carlos M. Simon,3,"Atalanta, BRAGA, Paris Saint-Germain"
Marco Lefebvre,3,"Lyon, Real Madrid, Villarreal"
Andrei D. Wilson,3,"VfL Wolfsburg, West Ham United, PSV Eindhoven"
Felix L. Martinez,6,"Nice, Fluminense, Aston Villa, Juventus, Napoli, Corinthians"
Igor J. Leroy,3,"Atletico Madrid, Everton, Celtic"
Daniel E. Bertrand,5,"Boca Juniors, Monaco, SS Lazio, Galatasaray, Celtic"
Diego J. Thomas,4,"River Plate, Feyenoord, Santos, Al-Ittihad"
Jonas D. Williams,5,"Paris Saint-Germain, Atletico Madrid, Lyon, Dynamo Kyiv, Bologna"
Kacper D. Bruno,2,"Napoli, SS Lazio"
Thibaut J. Moreau,3,"Borussia Mönchengladbach, São Paulo, Palmeiras"
Filip T. Garcia,4,"Corinthians, Celtic, Barcelona, Bayer Leverkusen"
Jan L. Esposito,1,Schalke 04
Jakub A. Perez,5,"Bayern Munich, Villarreal, Juventus, Feyenoord, FC Porto"
Dimitri T. Moreau,7,"Atlanta United, Torino, Santos, Feyenoord, Athletic Bilbao, Benfica, Sevilla"
Jonas R. Lopez,5,"River Plate, SS Lazio, Real Sociedad, VfL Wolfsburg, Schalke 04"
Maximilian R. Laurent,6,"Feyenoord, Boca Juniors, Al-Ahli, AS Roma, Galatasaray, Bayern Munich"
Leonardo C. Roberts,7,"Monaco, Valencia, Rennes, Lyon, LA Galaxy, Lille, Brighton & Hove Albion"
Frenkie R. Hoffmann,2,"Fluminense, Celtic"
Diogo V. Wagner,4,"LA Galaxy, Paris Saint-Germain, Manchester United, Real Betis"
Sebastian C. Diaz,4,"Tottenham Hotspur, BRAGA, Rangers, River Plate"
Giorgio F. Esposito,6,"FC Porto, BRAGA, Wolverhampton, Borussia Mönchengladbach, Lille, Villarreal"
Jonas A. Ramirez,6,"Benfica, Al-Hilal, BRAGA, Celtic, Flamengo, Real Betis"
Federico H. Wilson,5,"Barcelona, Borussia Mönchengladbach, Fluminense, Celtic, Sporting CP"
Leonardo R. Laurent,3,"Rennes, LAFC, Flamengo"
Federico N. Rojas,7,"PSV Eindhoven, Arsenal, São Paulo, Flamengo, Al-Nassr, Feyenoord, Wolverhampton"
Dimitri E. Schneider,3,"Inter Miami, West Ham United, Bayer Leverkusen"
Oliver A. Rodriguez,6,"Paris Saint-Germain, AC Milan, Juventus, SS Lazio, Real Sociedad, Newcastle United"
Amir N. Lopez,5,"AC Milan, Getafe, AS Roma, RB Leipzig, Sevilla"
Arthur E. Leroy,7,"Getafe, Flamengo, Valencia, Barcelona, Lille, PSV Eindhoven, Manchester United"
Hiroshi Schulz,3,"Bologna, SS Lazio, Monaco"
Ivan P. Nieuwenhuis,6,"Atalanta, Bayer Leverkusen, Celtic, Bayern Munich, Fenerbahce, Manchester City"
Paul R. Moreau,6,"Lille, Torino, Sporting CP, Fenerbahce, Bayern Munich, Schalke 04"
Virgil G. Roberts,7,"Arsenal, Tottenham Hotspur, Manchester City, Rangers, Fiorentina, Galatasaray, Manchester United"
Sebastian A. Rodriguez,5,"Feyenoord, West Ham United, LA Galaxy, Chelsea, Monaco"
Nathan M. Müller,3,"Sporting CP, Villarreal, AS Roma"
Mateo J. Rodriguez,5,"Fenerbahce, Boca Juniors, Sporting CP, Real Sociedad, Grêmio"
Bernardo G. Ricci,1,Atletico Madrid
Kwame Lefebvre,5,"Dynamo Kyiv, Atlanta United, Al-Ittihad, Chelsea, Bologna"
Oluwaseun C. Greco,2,"Celtic, Olympiacos"
Adrian F. Thomas,4,"Arsenal, Al-Nassr, Rangers, AC Milan"
David C. Colombo,7,"Grêmio, Real Betis, Manchester United, Atletico Madrid, Schalke 04, Napoli, Athletic Bilbao"
Jonas S. Greco,6,"Atletico Madrid, Liverpool, Borussia Dortmund, PSV Eindhoven, Villarreal, Everton"
Sebastian G. Lopez,7,"Bayern Munich, Galatasaray, Fenerbahce, Fiorentina, Atalanta, Napoli, Aston Villa"
Dimitri K. Davies,5,"Flamengo, Monaco, AS Roma, Napoli, Al-Nassr"
Leonardo J. Lopez,3,"Flamengo, AC Milan, Nice"
Jan G. Rossi,3,"RB Leipzig, Juventus, Flamengo"
Gabriel A. Vasquez,6,"Al-Ahli, Wolverhampton, Bayern Munich, BRAGA, Brighton & Hove Albion, Manchester City"
Youssef Roux,7,"Torino, Atletico Madrid, Real Betis, Chelsea, Atlanta United, Besiktas, Arsenal"
Mateo J. Fernandez,5,"Villarreal, Rangers, Schalke 04, Sporting CP, Marseille"
Josko Hernandez,3,"Everton, Bologna, Feyenoord"
Lorenzo M. Visser,4,"Lyon, Boca Juniors, Atalanta, Atletico Madrid"
Kenji E. Bakker,7,"Grêmio, Real Betis, VfL Wolfsburg, Palmeiras, São Paulo, Inter Milan, Juventus"
Daniel Fischer,4,"Sevilla, Napoli, Wolverhampton, LA Galaxy"
Louis N. Schneider,1,Shakhtar Donetsk
Leonardo G. Michel,6,"Monaco, Dynamo Kyiv, Bayern Munich, Shakhtar Donetsk, Fiorentina, Liverpool"
Andrei D. Gonzales,1,SS Lazio
Sandro M. Roberts,4,"Borussia Mönchengladbach, Inter Milan, Ajax, Rangers"
Liam K. Laurent,7,"Nice, Real Madrid, Atlanta United, Schalke 04, AC Milan, Napoli, Liverpool"
Tiago R. Brown,1,Liverpool
Kofi R. Garcia,1,West Ham United
Stefan H. Gomez,3,"Inter Miami, FC Porto, West Ham United"
Adrian A. Davies,3,"Lille, Real Sociedad, Fenerbahce"
Samuel Silva,3,"Ajax, AS Roma, Aston Villa"
Bruno S. Diaz,6,"Boca Juniors, Marseille, Borussia Dortmund, Atalanta, Lille, Al-Nassr"
João P. Rodriguez,2,"Atletico Madrid, Lyon"
Paul S. Vasquez,4,"Atlanta United, Al-Ahli, Galatasaray, Rangers"
Sven L. David,5,"Feyenoord, Al-Ahli, Fiorentina, RB Leipzig, Real Betis"
Dries D. Santos,3,"Manchester City, Napoli, Celtic"
Adrian P. Moreau,4,"Real Betis, LA Galaxy, Sevilla, Bologna"
Amir G. De Bruyne,5,"Flamengo, Real Sociedad, PSV Eindhoven, Aston Villa, Palmeiras"
Sven Gonzales,3,"Inter Milan, Olympiacos, Borussia Dortmund"
Nathan D. Schmidt,5,"Marseille, Manchester United, Monaco, Palmeiras, Ajax"
Adrian H. Garcia,2,"Atalanta, Juventus"
Lucas H. De Jong,3,"Al-Nassr, Flamengo, Galatasaray"
Gianluigi N. Jansen,3,"RB Leipzig, Juventus, Paris Saint-Germain"
Miklós L. Brown,1,Fenerbahce
Lucas R. Rojas,3,"SS Lazio, Torino, Aston Villa"
Leonardo A. Dubois,7,"Torino, Newcastle United, Real Betis, Fiorentina, Besiktas, Flamengo, AS Roma"
David R. Smit,2,"Torino, Benfica"
Tiago P. Smith,6,"Everton, Dynamo Kyiv, Benfica, Rennes, Arsenal, LA Galaxy"
Carlos G. Weber,5,"Fenerbahce, Tottenham Hotspur, Al-Nassr, VfL Wolfsburg, Valencia"
Kwan S. Esposito,3,"AS Roma, Sporting CP, Manchester United"
Leonardo T. Flores,7,"Fenerbahce, Brighton & Hove Albion, Bologna, Lyon, PSV Eindhoven, BRAGA, Dynamo Kyiv"
